id;category_form_id;category_product_id;data_point;data_entry_type;data_input;mandatory;notes;jenis_form;input_keterangan
1;1;2;Tanggal & waktu;Auto-populated;null;1;Saat mulai mengisi atau saat formulir dikirimkan;1;0
2;1;2;Nama Inspektur;Auto-populated;null;1;;1;0
3;1;2;ID Inspektur;Auto-populated;null;1;Dapat diberikan account ID spesifik atau dari ID unik yang disediakan KESDM (apabila ada);1;0
4;2;2;Tipe Lokasi Pengawasan;Drop down menu;null;1;;1;0
5;2;2;Nama Lokasi Pengawasan;Manual entry;null;1;Integrasi lokasi Google Maps;1;0
6;2;2;Alamat Lokasi Pengawasan;Manual entry;null;0;;1;0
7;2;2;Wilayah Lokasi Pengawasan;Drop down menu or auto-populated (?) based on location;null;1;"""Jabodetabek
Jawa Tengah
Jawa Timur
DI Yogyakarta
Kalimantan
Kepulauan Maluku
Bali & Nusa Tenggara
Papua
Sulawesi
Sumatera""";1;0
8;2;2;Nama Tenaga Penjual;Manual entry;null;1;"""Warung
Pasar tradisional
Toko
Dealer/Distributor
Chain
Department store
Hypermarket
General store
Supermarket""";1;0
9;3;2;Lampirkan foto tampak depan Lokasi Pengawasan;FILE;null;1;;1;0
10;3;2;Apakah tenaga penjual familiar dengan LTHE?;Drop down menu;null;1;Ya Sedikit Tidak;1;0
11;3;2;Seberapa seringkah tenaga penjual menemukan produk tanpa LTHE?;Drop down menu;null;0;Tidak pernah Jarang Sering Sangat sering;1;0
12;3;2;Apakah yang dilakukan oleh pihak ritel saat produk tanpa LTHE ditemukan?;Drop down menu;null;1;Mengembalikan produk pada pemasok untuk mencantumkan label Menahan produk sampai produk pengganti berlabel diterima dari pemasok Tidak melakukan apa-apa - menjual produk seadanya;1;0
13;3;2;Apakah konsumen menanyakan tentang LTHE?;Drop down menu;null;1;Ya Sering Kadang-kadang Tidak pernah;1;0
14;3;2;Apakah pramuniaga ritel dapat menjelaskan arti LTHE dengan benar?;Drop down menu;null;1;Ya Sebagian  Tidak;1;0
15;4;2;Produk;Drop down menu;null;1;AC Lampu Swabalast CFL Kulkas Penanak Nasi Kipas Angin;1;0
16;4;2;Merek;Pre-populated from registry;null;1;Or allow for manual entry if no registration;1;0
17;4;2;Kapasitas Pengenal (PK);Drop down;null;1;1/2 3/4 1 1.5 2 2.5 3;1;0
18;4;2;Teknologi;Drop down;null;1;Standard fixed speed Inverter;1;0
19;4;2;Manufaktur / importir;Pre-populated from registry;null;1;Or allow for manual entry if no registration;1;0
20;4;2;Kode atau Tanggal Produksi;Manual entry;null;1;Can this be obtained? Is it necessary?;1;0
21;4;2;Negara Asal;Manual entry;null;1;;1;0
22;4;2;Harga;Manual entry;null;1;;1;0
23;4;2;Model;Manual entry;null;0;;1;0
24;5;2;Lampirkan foto LTHE;FILE;null;1;;1;0
25;5;2;Nomor Registrasi;"Manual entry then ""easy fill""";null;1;"Fitur lookup sudah diaktifkan disini kalau tidak ditemukan buka pilihan ""tidak ditemukan""";1;0
26;5;2;Jumlah Bintang;Pre-populated from registry;null;1;Buka pilihan manual entry apabila tidak sesuai;1;0
27;5;2;Nilai Efisiensi Energi EER;Pre-populated from registry;null;1;Buka pilihan manual entry apabila tidak sesuai;1;0
28;5;2;Model Unit Dalam;Pre-populated from registry;null;1;Buka pilihan manual entry apabila tidak sesuai;1;0
29;5;2;Model Unit Luar;Pre-populated from registry;null;1;Buka pilihan manual entry apabila tidak sesuai;1;0
30;5;2;Daya;Pre-populated from registry;null;1;Buka pilihan manual entry apabila tidak sesuai;1;0
31;6;2;LTHE tercantum pada produk;Drop down menu;null;1;Yes No;1;0
32;6;2;LTHE tercantum pada kotak kemasan;Drop down menu;null;1;Yes No;1;0
33;6;2;Visibilitas LTHE;Drop down menu;null;1;Label jelas dan mudah terlihat Label kabur atau rusak karena tindakan produsen atau importir Label kabur atau rusak karena tindakan pengecer Label sebagian atau seluruhnya ditutupi oleh label lain atau informasi pemasaran Tidak berlaku - label tidak dibub;1;0
34;6;2;Kesesuaian visual LTHE;Drop down menu;null;1;Label terlihat benar dan sesuai dengan persyaratan Desain label salah (warna ukuran dll) Label tampaknya palsu Label tidak sesuai dengan model fisik produk Tidak berlaku - label tidak dibubuhkan;1;0
35;6;2;Ketidaksesuaian LTHE dijelaskan;Manual entry;null;0;Jelaskan secara manual ketidaksesuaian yang ditemukan;1;0
36;6;2;Tinjauan inspeksi LTHE;Drop down menu;null;1;Label dan produk tampak sesuai Label atau produk tampak mencurigakan dan memerlukan penyelidikan lebih lanjut Label atau produk tampak mencurigakan dan direkomendasikan untuk pengujian verifikasi;1;0
37;6;2;Tuliskan penjelasan apabila label atau produk mencurigakan;Manual entry;null;0;"Aktif untuk isian Tinjauan inspeksi selain ""Label dan produk tampak sesuai""";1;0
38;8;2;Label SNI tercantum dan dapat terbaca jelas;Drop down menu;null;1;Ya Tidak yakin Tidak;1;0
39;8;2;Ekolabel tercantum dan dapat terbaca jelas;Drop down menu;null;1;Ya Tidak yakin Tidak;1;0
40;8;2;Kartu garansi tercantum dan dapat terbaca jelas;Drop down menu;null;1;Ya Tidak yakin Tidak;1;0
41;8;2;Label produk dalam Bahasa Indonesia;Drop down menu;null;1;Ya Tidak yakin Tidak;1;0
42;7;2;Apakah ada produk dari kunjungan Lokasi Pengawasan yang dipilih untuk uji petik?;Drop down menu;null;1;Ya Tidak;1;0
43;7;2;(Apabila Ya) Pilih dari Entri Data yang Direkam;Single or multiple;null;1;Pilihan produk yang direkam (Merek 4 digit nomor SHE terakhir). Formulir Pendataan Uji Petik dibuka untuk tiap Entri Data yg dipilih;1;0
44;7;2;(Aktifkan Entri Tambahan untuk Entri Data yg dipilih) Lab Uji Tujuan;Drop down menu;null;0;Qualis TUV Rheinland B2TKE-BRIN B4T-Kemenperin;1;0
45;7;2;(Aktifkan Entri Tambahan untuk Entri Data yg dipilih) Cara Pengiriman;Drop down menu;null;1;Diantar langsung Pengiriman jarak dekat Pengiriman jarak jauh;1;0
46;7;2;Lampirkan foto Formulir Transmisi;FILE;null;0;;1;0
47;7;2;Lampirkan foto Bukti Pembayaran;FILE;null;0;;1;0
48;7;2;Lampirkan foto Kemasan Tersegel;FILE;null;0;;1;0
49;5;2;Kapasitas Pendinginan;Pre-populated from registry;null;1;Buka pilihan manual entry apabila tidak sesuai;1;0
50;9;2;Lampirkan foto LTHE;FILE;null;1;;1;0
51;9;2;Nomor SHE;"Manual entry then ""easy fill""";null;1;"Fitur lookup sudah diaktifkan disini kalau tidak ditemukan buka pilihan ""tidak ditemukan""";1;0
52;9;2;Jumlah Bintang;Pre-populated from registry;null;1;Buka pilihan manual entry apabila tidak sesuai;1;0
53;9;2;Nilai Efisiensi Energi CSPF;Pre-populated from registry;null;1;Buka pilihan manual entry apabila tidak sesuai;1;0
54;9;2;Model Unit Dalam;Pre-populated from registry;null;1;Buka pilihan manual entry apabila tidak sesuai;1;0
55;9;2;Model Unit Luar;Pre-populated from registry;null;1;Buka pilihan manual entry apabila tidak sesuai;1;0
56;9;2;Daya;Pre-populated from registry;null;1;Buka pilihan manual entry apabila tidak sesuai;1;0
57;9;2;Kapasitas Pendinginan;Pre-populated from registry;null;1;Buka pilihan manual entry apabila tidak sesuai;1;0
58;9;2;Koordinat GPS;Entri tersedia;null;1;;1;0
59;9;2;Nomor LTHE;Entri tersedia;null;1;;1;0
