id|product_id|category_id|perusahaan|field|field_value
1|1|1|51|field-0|ACR
2|1|1|51|field-1|CFL
3|1|1|51|field-2|ACR 2U 6W
4|1|1|51|field-3|2U
5|1|1|51|field-4|6.75
6|1|1|51|field-5|54.49
7|1|1|51|field-6|Cool Daylight
8|1|1|51|field-7|4
9|1|1|51|field-8|19.71
10|1|1|51|field-9|28914.57
11|1|1|51|field-10|006.1.01.06.14.0001
12|2|1|51|field-0|ACR
13|2|1|51|field-1|CFL
14|2|1|51|field-2|ACR 2U 9W
15|2|1|51|field-3|2U
16|2|1|51|field-4|8.25
17|2|1|51|field-5|58.95
18|2|1|51|field-6|Cool Daylight
19|2|1|51|field-7|4
20|2|1|51|field-8|24.09
21|2|1|51|field-9|35340.03
22|2|1|51|field-10|006.1.01.09.14.0002
23|3|1|51|field-0|ACR
24|3|1|51|field-1|CFL
25|3|1|51|field-2|ACR 2U 11W
26|3|1|51|field-3|2U
27|3|1|51|field-4|8.80
28|3|1|51|field-5|64.42
29|3|1|51|field-6|Cool Daylight
30|3|1|51|field-7|4
31|3|1|51|field-8|25.70
32|3|1|51|field-9|37696.03
33|3|1|51|field-10|006.1.01.11.14.0003
34|4|1|51|field-0|ACR
35|4|1|51|field-1|CFL
36|4|1|51|field-2|ACR 2U 13W
37|4|1|51|field-3|2U
38|4|1|51|field-4|10.50
39|4|1|51|field-5|62.22
40|4|1|51|field-6|Cool Daylight
41|4|1|51|field-7|4
42|4|1|51|field-8|30.66
43|4|1|51|field-9|44978.22
44|4|1|51|field-10|006.1.01.13.14.0004
45|5|1|51|field-0|ACR
46|5|1|51|field-1|CFL
47|5|1|51|field-2|ACR 2U 15W
48|5|1|51|field-3|2U
49|5|1|51|field-4|10.40
50|5|1|51|field-5|67.17
51|5|1|51|field-6|Cool Daylight
52|5|1|51|field-7|4
53|5|1|51|field-8|30.37
54|5|1|51|field-9|44549.86
55|5|1|51|field-10|006.1.01.15.14.0005
56|6|1|51|field-0|ACR
57|6|1|51|field-1|CFL
58|6|1|51|field-2|ACR 3U 11W
59|6|1|51|field-3|3U
60|6|1|51|field-4|11.10
61|6|1|51|field-5|60.78
62|6|1|51|field-6|Cool Daylight
63|6|1|51|field-7|4
64|6|1|51|field-8|32.41
65|6|1|51|field-9|47548.40
66|6|1|51|field-10|006.1.01.11.14.0006
67|7|1|51|field-0|ACR
68|7|1|51|field-1|CFL
69|7|1|51|field-2|ACR 3U 13W
70|7|1|51|field-3|3U
71|7|1|51|field-4|12.35
72|7|1|51|field-5|63.72
73|7|1|51|field-6|Cool Daylight
74|7|1|51|field-7|4
75|7|1|51|field-8|36.06
76|7|1|51|field-9|52902.95
77|7|1|51|field-10|006.1.01.13.14.0007
78|8|1|51|field-0|ACR
79|8|1|51|field-1|CFL
80|8|1|51|field-2|ACR 3U 15W
81|8|1|51|field-3|3U
82|8|1|51|field-4|15.45
83|8|1|51|field-5|64.71
84|8|1|51|field-6|Cool Daylight
85|8|1|51|field-7|4
86|8|1|51|field-8|45.11
87|8|1|51|field-9|66182.24
88|8|1|51|field-10|006.1.01.15.14.0008
89|9|1|51|field-0|ACR
90|9|1|51|field-1|CFL
91|9|1|51|field-2|ACR 3U 18W
92|9|1|51|field-3|3U
93|9|1|51|field-4|16.80
94|9|1|51|field-5|65.75
95|9|1|51|field-6|Cool Daylight
96|9|1|51|field-7|4
97|9|1|51|field-8|49.06
98|9|1|51|field-9|71965.15
99|9|1|51|field-10|006.1.01.18.14.0009
100|10|1|51|field-0|ACR
101|10|1|51|field-1|CFL
102|10|1|51|field-2|ACR 3U 20W
103|10|1|51|field-3|3U
104|10|1|51|field-4|18.70
105|10|1|51|field-5|66.34
106|10|1|51|field-6|Cool Daylight
107|10|1|51|field-7|4
108|10|1|51|field-8|54.60
109|10|1|51|field-9|80104.07
110|10|1|51|field-10|006.1.01.20.14.0010
111|11|1|51|field-0|ACR
112|11|1|51|field-1|CFL
113|11|1|51|field-2|ACR 3U 23W
114|11|1|51|field-3|3U
115|11|1|51|field-4|19.60
116|11|1|51|field-5|67.40
117|11|1|51|field-6|Cool Daylight
118|11|1|51|field-7|4
119|11|1|51|field-8|57.23
120|11|1|51|field-9|83959.34
121|11|1|51|field-10|006.1.01.23.14.0011
122|12|1|51|field-0|ACR
123|12|1|51|field-1|CFL
124|12|1|51|field-2|ACR 3U 26W
125|12|1|51|field-3|3U
126|12|1|51|field-4|19.90
127|12|1|51|field-5|66.96
128|12|1|51|field-6|Cool Daylight
129|12|1|51|field-7|4
130|12|1|51|field-8|58.11
131|12|1|51|field-9|85244.44
132|12|1|51|field-10|006.1.01.26.14.0012
133|13|1|51|field-0|ACR
134|13|1|51|field-1|CFL
135|13|1|51|field-2|ACR 4U 40W
136|13|1|51|field-3|4U
137|13|1|51|field-4|34.75
138|13|1|51|field-5|63.30
139|13|1|51|field-6|Cool Daylight
140|13|1|51|field-7|4
141|13|1|51|field-8|101.47
142|13|1|51|field-9|148856.49
143|13|1|51|field-10|006.1.01.40.14.0013
144|14|1|51|field-0|ACR
145|14|1|51|field-1|CFL
146|14|1|51|field-2|ACR SPIRAL 13W
147|14|1|51|field-3|Spiral
148|14|1|51|field-4|13.55
149|14|1|51|field-5|71.83
150|14|1|51|field-6|Cool Daylight
151|14|1|51|field-7|4
152|14|1|51|field-8|39.57
153|14|1|51|field-9|58043.32
154|14|1|51|field-10|006.1.02.13.14.0014
155|15|1|51|field-0|ACR
156|15|1|51|field-1|CFL
157|15|1|51|field-2|ACR SPIRAL 15W
158|15|1|51|field-3|Spiral
159|15|1|51|field-4|16.10
160|15|1|51|field-5|74.48
161|15|1|51|field-6|Cool Daylight
162|15|1|51|field-7|4
163|15|1|51|field-8|47.01
164|15|1|51|field-9|68966.60
165|15|1|51|field-10|006.1.02.15.14.0015
166|16|1|51|field-0|ACR
167|16|1|51|field-1|CFL
168|16|1|51|field-2|ACR SPIRAL 18W
169|16|1|51|field-3|Spiral
170|16|1|51|field-4|17.65
171|16|1|51|field-5|75.33
172|16|1|51|field-6|Cool Daylight
173|16|1|51|field-7|4
174|16|1|51|field-8|51.54
175|16|1|51|field-9|75606.25
176|16|1|51|field-10|006.1.02.18.14.0016
177|17|1|51|field-0|ACR
178|17|1|51|field-1|CFL
179|17|1|51|field-2|ACR SPIRAL 23W
180|17|1|51|field-3|Spiral
181|17|1|51|field-4|19.25
182|17|1|51|field-5|75.52
183|17|1|51|field-6|Cool Daylight
184|17|1|51|field-7|4
185|17|1|51|field-8|56.21
186|17|1|51|field-9|82460.07
